# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   79       2.765152059228e-10       5.995383262782e-14      -1.336722101279e-12       0.000000000000e+00       1.964216421621e-11       2.509348410541e-12      -1.015839354408e-14 
   80       2.799668344089e-10       6.191682398985e-14      -1.409042003671e-12       0.000000000000e+00       1.904355665029e-11       2.444386472187e-12      -1.038330045997e-14 
   81       2.834497044631e-10       6.389617787362e-14      -1.482573606346e-12       0.000000000000e+00       1.846941286682e-11       2.382120969934e-12      -1.060113585810e-14 
   82       2.869635003248e-10       6.588951078409e-14      -1.557247992277e-12       0.000000000000e+00       1.791809023027e-11       2.322306856661e-12      -1.079760025580e-14 
   83       2.905075392286e-10       6.789430126626e-14      -1.632992198012e-12       0.000000000000e+00       1.738748895286e-11       2.264641653385e-12      -1.095704902092e-14 
   84       2.940811382765e-10       6.990813910478e-14      -1.709737552226e-12       0.000000000000e+00       1.687556245984e-11       2.208836765945e-12      -1.106573896924e-14 
   85       2.976848235916e-10       7.192952652696e-14      -1.787446411335e-12       0.000000000000e+00       1.638198456681e-11       2.154849800988e-12      -1.112227427284e-14 
   86       3.013192901906e-10       7.395720530230e-14      -1.866089766500e-12       0.000000000000e+00       1.590672743657e-11       2.102686939683e-12      -1.112882689392e-14 
   87       3.049850242654e-10       7.598991796236e-14      -1.945639318892e-12       0.000000000000e+00       1.544954930498e-11       2.052331928541e-12      -1.108801888068e-14 
   88       3.086822919968e-10       7.802640923393e-14      -2.026067560753e-12       0.000000000000e+00       1.500998561227e-11       2.003745131691e-12      -1.100293756051e-14 
   89       3.124111283688e-10       8.006542747232e-14      -2.107347856443e-12       0.000000000000e+00       1.458734013441e-11       1.956862583169e-12      -1.087715073302e-14 
   90       3.161713259826e-10       8.210572609455e-14      -2.189454523493e-12       0.000000000000e+00       1.418067611444e-11       1.911595039198e-12      -1.071472186314e-14 
   91       3.199624238707e-10       8.414606501257e-14      -2.272362913658e-12       0.000000000000e+00       1.378880739384e-11       1.867827030468e-12      -1.052022527424e-14 
   92       3.237836963109e-10       8.618521206647e-14      -2.356049493968e-12       0.000000000000e+00       1.341028954381e-11       1.825415914423e-12      -1.029876134118e-14 
   93       3.276344117334e-10       8.822183414504e-14      -2.440483838384e-12       0.000000000000e+00       1.304376259736e-11       1.784227703295e-12      -1.005548361707e-14 
   94       3.315146782819e-10       9.025414870237e-14      -2.525603048930e-12       0.000000000000e+00       1.268905747298e-11       1.744252770650e-12      -9.794065858945e-15 
   95       3.354247053350e-10       9.228022223533e-14      -2.611333619455e-12       0.000000000000e+00       1.234624033417e-11       1.705505875857e-12      -9.518031460355e-15 
   96       3.393645373664e-10       9.429807584629e-14      -2.697599152658e-12       0.000000000000e+00       1.201527182779e-11       1.667990501940e-12      -9.231229354045e-15 
   97       3.433340464664e-10       9.630568516210e-14      -2.784320330104e-12       0.000000000000e+00       1.169600304177e-11       1.631698412677e-12      -8.937842505456e-15 
   98       3.473329248632e-10       9.830098025310e-14      -2.871414882228e-12       0.000000000000e+00       1.138817146281e-11       1.596609209694e-12      -8.642396406199e-15 
   99       3.513606774452e-10       1.002818455520e-13      -2.958797558352e-12       0.000000000000e+00       1.109139693409e-11       1.562689889569e-12      -8.349767567542e-15 
  100       3.554166142819e-10       1.022461197731e-13      -3.046380096689e-12       0.000000000000e+00       1.080517761297e-11       1.529894400923e-12      -8.065192013892e-15 
  101       3.594998431458e-10       1.041915958309e-13      -3.134071194356e-12       0.000000000000e+00       1.052888592871e-11       1.498163201519e-12      -7.794273776280e-15 
  102       3.636092620341e-10       1.061160207593e-13      -3.221776477387e-12       0.000000000000e+00       1.026176454020e-11       1.467422815360e-12      -7.542993385839e-15 
  103       3.677435516899e-10       1.080170956306e-13      -3.309398470739e-12       0.000000000000e+00       1.000292229362e-11       1.437585389787e-12      -7.317716367293e-15 
  104       3.719014579937e-10       1.098925841514e-13      -3.396843101122e-12       0.000000000000e+00       9.751536248830e-12       1.408568676133e-12      -7.123726308592e-15 
  105       3.760826986883e-10       1.117406553313e-13      -3.484040270521e-12       0.000000000000e+00       9.507497545978e-12       1.380359999578e-12      -6.960580094597e-15 
  106       3.802871657678e-10       1.135595871683e-13      -3.570926018885e-12       0.000000000000e+00       9.270845656209e-12       1.352960145223e-12      -6.826138146531e-15 
  107       3.845146423037e-10       1.153476632051e-13      -3.657436280782e-12       0.000000000000e+00       9.041568347727e-12       1.326363490358e-12      -6.717976189459e-15 
  108       3.887647981528e-10       1.171031736426e-13      -3.743506927196e-12       0.000000000000e+00       8.819599907982e-12       1.300557786001e-12      -6.633377532323e-15 
  109       3.930371856636e-10       1.188244164525e-13      -3.829073807332e-12       0.000000000000e+00       8.604819365875e-12       1.275523938421e-12      -6.569325347975e-15 
