# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.48588e-07 to 11.3904 h/Mpc,
# number of wavenumbers equal to 581
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:d_tot                  8:phi                    9:psi                
       3.167631982939e-03      -1.071604529093e-01      -8.322716379024e+01      -8.228131120419e+01      -9.072720402557e-02       2.160171445383e-01      -2.557263840992e+01       4.289089835683e-01       4.289092313754e-01 
       3.284990051310e-03      -7.392874454194e-02      -8.923425352108e+01      -8.821541349211e+01      -6.344476725437e-02       2.166875425419e-01      -2.742741106278e+01       4.274991342589e-01       4.274995107266e-01 
       3.403088902916e-03      -3.315575186393e-02      -9.546936891035e+01      -9.437483102852e+01      -7.872565801757e-02       2.172210896465e-01      -2.935271862395e+01       4.260899029185e-01       4.260903291977e-01 
       3.521866708684e-03      -1.703712860027e-02      -1.019305393322e+02      -1.007576170050e+02      -1.529142542261e-01       2.176331436465e-01      -3.134794426096e+01       4.246810763874e-01       4.246814357243e-01 
       3.641267681674e-03      -2.685241234618e-02      -1.086156862102e+02      -1.073617154005e+02      -2.358808441456e-01       2.179370973398e-01      -3.341243427573e+01       4.232724178336e-01       4.232726740667e-01 
       3.761241460541e-03      -3.322598286323e-02      -1.155226598473e+02      -1.141850053719e+02      -2.717668123858e-01       2.181448010216e-01      -3.554551360958e+01       4.218637944643e-01       4.218640102135e-01 
       3.881742549020e-03      -1.265370040046e-02      -1.226492349170e+02      -1.212252913174e+02      -2.547821356960e-01       2.182665230450e-01      -3.774648713344e+01       4.204551228367e-01       4.204553799086e-01 
       4.002729809554e-03       2.260850824502e-02      -1.299931435481e+02      -1.284803412795e+02      -2.279062289339e-01       2.183115044649e-01      -4.001465257605e+01       4.190464671314e-01       4.190467816493e-01 
       4.124166008009e-03       3.728612709729e-02      -1.375520717612e+02      -1.359478802991e+02      -2.344312156624e-01       2.182878207391e-01      -4.234929616801e+01       4.176379336818e-01       4.176382495099e-01 
       4.246017405761e-03       1.456020340316e-02      -1.453236483639e+02      -1.436255817332e+02      -2.752151752588e-01       2.182025042606e-01      -4.474968585233e+01       4.162295690318e-01       4.162298250520e-01 
       4.368253395187e-03      -2.243231237288e-02      -1.533055095797e+02      -1.515111274227e+02      -3.130166900819e-01       2.180618257413e-01      -4.721508907122e+01       4.148215048556e-01       4.148216984381e-01 
       4.490846174530e-03      -3.551673682495e-02      -1.614952506506e+02      -1.596021622303e+02      -3.153898918097e-01       2.178713698122e-01      -4.974476136662e+01       4.134138205532e-01       4.134140024979e-01 
       4.613770458245e-03      -1.464794389674e-02      -1.698904656220e+02      -1.678963287636e+02      -2.891521767261e-01       2.176361123868e-01      -5.233796106549e+01       4.120066626842e-01       4.120068770882e-01 
       4.737003219153e-03       1.135416379873e-02      -1.784887296829e+02      -1.763912515332e+02      -2.704696996164e-01       2.173604723054e-01      -5.499394442479e+01       4.106001876512e-01       4.106004265618e-01 
       4.860523458977e-03       2.080333597580e-01      -1.872875829863e+02      -1.850844288097e+02       2.116644587078e-01       2.170487661959e-01      -5.771190301365e+01       4.091942430310e-01       4.091942430310e-01 
       4.984312004148e-03       2.068848270244e-01      -1.962846498973e+02      -1.939736628266e+02       2.105031633478e-01       2.166992060677e-01      -6.049119955021e+01       4.077895079839e-01       4.077895079839e-01 
       5.108351324050e-03       2.057687663533e-01      -2.054775978035e+02      -2.030566717806e+02       2.093743733172e-01       2.163246124697e-01      -6.333108167655e+01       4.063861808983e-01       4.063861808983e-01 
       5.232625369170e-03       2.046829221492e-01      -2.148639267540e+02      -2.123309195592e+02       2.082758309923e-01       2.159225461410e-01      -6.623076143265e+01       4.049841019156e-01       4.049841019156e-01 
       5.357119426869e-03       2.036249045404e-01      -2.244412644543e+02      -2.217940628659e+02       2.072051466904e-01       2.154934489199e-01      -6.918950589848e+01       4.035834779121e-01       4.035834779121e-01 
       5.481819992775e-03       2.025927262275e-01      -2.342072016407e+02      -2.314436981540e+02       2.061603325451e-01       2.150452319121e-01      -7.220655933927e+01       4.021843620884e-01       4.021843620884e-01 
       5.606714655986e-03       2.015815365632e-01      -2.441595820138e+02      -2.412780440148e+02       2.051365388241e-01       2.145836231964e-01      -7.528134383579e+01       4.007877352207e-01       4.007877352207e-01 
       5.731791996509e-03       2.005938081863e-01      -2.542957562392e+02      -2.512939976311e+02       2.041362375215e-01       2.140958295079e-01      -7.841292185804e+01       3.993926011170e-01       3.993926011170e-01 
       5.857041493533e-03       1.996265635183e-01      -2.646135337779e+02      -2.614896133745e+02       2.031564527234e-01       2.135909222456e-01      -8.160066821765e+01       3.979996357788e-01       3.979996357788e-01 
       5.982453443300e-03       1.986780234774e-01      -2.751105617899e+02      -2.718625300907e+02       2.021954041077e-01       2.130715233861e-01      -8.484384472374e+01       3.966088812751e-01       3.966088812751e-01 
       6.108018885485e-03       1.977470656244e-01      -2.857845015394e+02      -2.824104669446e+02       2.012519698181e-01       2.125390017719e-01      -8.814173591405e+01       3.952204661652e-01       3.952204661652e-01 
       6.233729537119e-03       1.968322355434e-01      -2.966330231541e+02      -2.931310977627e+02       2.003246945853e-01       2.119949331475e-01      -9.149361465309e+01       3.938344450606e-01       3.938344450606e-01 
       6.359577733229e-03       1.959328266667e-01      -3.076538650843e+02      -3.040222508098e+02       1.994128737014e-01       2.114375572268e-01      -9.489880013449e+01       3.924510443572e-01       3.924510443572e-01 
       6.485556373419e-03       1.950475076393e-01      -3.188446741130e+02      -3.150816717493e+02       1.985151750514e-01       2.108695107127e-01      -9.835658231440e+01       3.910703380053e-01       3.910703380053e-01 
       6.611658873761e-03       1.941749720751e-01      -3.302031650743e+02      -3.263070211884e+02       1.976302907259e-01       2.102915051769e-01      -1.018662333231e+02       3.896923105691e-01       3.896923105691e-01 
       6.737879123408e-03       1.933159580818e-01      -3.417272015237e+02      -3.376962622928e+02       1.967589637100e-01       2.097045449263e-01      -1.054271120747e+02       3.883172520380e-01       3.883172520380e-01 
       6.864211445411e-03       1.924682276557e-01      -3.534143945170e+02      -3.492470279085e+02       1.958989516733e-01       2.091119745992e-01      -1.090384765561e+02       3.869450513528e-01       3.869450513528e-01 
       6.990650561296e-03       1.916325658016e-01      -3.652625477447e+02      -3.609571998742e+02       1.950510433297e-01       2.085129889242e-01      -1.126996625843e+02       3.855758623324e-01       3.855758623324e-01 
       7.117191558997e-03       1.908074021461e-01      -3.772694060434e+02      -3.728244268236e+02       1.942136655277e-01       2.078976997353e-01      -1.164099478711e+02       3.842096233163e-01       3.842096233163e-01 
       7.243829863798e-03       1.899903684061e-01      -3.894327798449e+02      -3.848469089865e+02       1.933844486930e-01       2.072910495556e-01      -1.201687348307e+02       3.828466667486e-01       3.828466667486e-01 
       7.370561211962e-03       1.891839578571e-01      -4.017504523468e+02      -3.970221988991e+02       1.925658905100e-01       2.066718128407e-01      -1.239752854771e+02       3.814868280246e-01       3.814868280246e-01 
       7.497381626774e-03       1.883865742994e-01      -4.142203685498e+02      -4.093482712120e+02       1.917563934776e-01       2.060472090606e-01      -1.278289614108e+02       3.801302609910e-01       3.801302609910e-01 
       7.624287396752e-03       1.875976757789e-01      -4.268402967570e+02      -4.218229897320e+02       1.909554153494e-01       2.054198341752e-01      -1.317290896450e+02       3.787769845125e-01       3.787769845125e-01 
       7.751275055812e-03       1.868168368398e-01      -4.396080551177e+02      -4.344441930616e+02       1.901625304199e-01       2.047889669531e-01      -1.356749952330e+02       3.774269997622e-01       3.774269997622e-01 
       7.878341365178e-03       1.860442544928e-01      -4.525215609698e+02      -4.472097518751e+02       1.893779368729e-01       2.041509752310e-01      -1.396660184782e+02       3.760803366416e-01       3.760803366416e-01 
       8.005483296882e-03       1.852778865193e-01      -4.655787685891e+02      -4.601178595998e+02       1.885995907039e-01       2.035144982979e-01      -1.437015781593e+02       3.747372229106e-01       3.747372229106e-01 
       8.132698018682e-03       1.845190925866e-01      -4.787774877152e+02      -4.731662460231e+02       1.878288538128e-01       2.028725880507e-01      -1.477809745042e+02       3.733975378269e-01       3.733975378269e-01 
       8.259982880275e-03       1.837670478621e-01      -4.921157483318e+02      -4.863530049102e+02       1.870649012070e-01       2.022280392710e-01      -1.519036076784e+02       3.720614171014e-01       3.720614171014e-01 
       8.387335400677e-03       1.830214144283e-01      -5.055913451234e+02      -4.996758158089e+02       1.863073933143e-01       2.015805681516e-01      -1.560687593477e+02       3.707286880495e-01       3.707286880495e-01 
       8.514753256646e-03       1.822820405425e-01      -5.192024520199e+02      -5.131331153235e+02       1.855561810854e-01       2.009323980050e-01      -1.602759274505e+02       3.693996835493e-01       3.693996835493e-01 
       8.642234272080e-03       1.815484624647e-01      -5.329467325616e+02      -5.267224806271e+02       1.848107980688e-01       2.002811281308e-01      -1.645243617741e+02       3.680741380271e-01       3.680741380271e-01 
       8.769776408269e-03       1.808212103234e-01      -5.468223633000e+02      -5.404420283831e+02       1.840717765867e-01       1.996296124024e-01      -1.688134755588e+02       3.667521562372e-01       3.667521562372e-01 
       8.897377754940e-03       1.800987855469e-01      -5.608271972703e+02      -5.542898014294e+02       1.833376155508e-01       1.989743639497e-01      -1.731426513156e+02       3.654337618324e-01       3.654337618324e-01 
       9.025036522023e-03       1.793811572946e-01      -5.749592314124e+02      -5.682639908103e+02       1.826082850136e-01       1.983233158619e-01      -1.775113097398e+02       3.641190416689e-01       3.641190416689e-01 
       9.152751032066e-03       1.786691278930e-01      -5.892164178730e+02      -5.823623648634e+02       1.818845880994e-01       1.976644702761e-01      -1.819187715762e+02       3.628078661881e-01       3.628078661881e-01 
       9.280519713250e-03       1.779620881087e-01      -6.035971160758e+02      -5.965834563943e+02       1.811659167898e-01       1.970061541909e-01      -1.863645648948e+02       3.615005131442e-01       3.615005131442e-01 
       9.408341092942e-03       1.772604523954e-01      -6.180991609423e+02      -6.109248889447e+02       1.804526846335e-01       1.963443813293e-01      -1.908479610775e+02       3.601967379989e-01       3.601967379989e-01 
       9.536213791750e-03       1.765621947534e-01      -6.327204029128e+02      -6.253848589647e+02       1.797428620283e-01       1.956959002481e-01      -1.953683691095e+02       3.588965666532e-01       3.588965666532e-01 
       9.664136518030e-03       1.758689342828e-01      -6.474589914591e+02      -6.399613869520e+02       1.790380714337e-01       1.950456552866e-01      -1.999251878773e+02       3.575999912191e-01       3.575999912191e-01 
       9.792108062807e-03       1.751799997161e-01      -6.623131481358e+02      -6.546528820040e+02       1.783376417379e-01       1.943858497105e-01      -2.045179172554e+02       3.563071782006e-01       3.563071782006e-01 
       9.920127295083e-03       1.744957187184e-01      -6.772809315294e+02      -6.694572990950e+02       1.776419007260e-01       1.937187519037e-01      -2.091459225432e+02       3.550180386318e-01       3.550180386318e-01 
       1.004819315749e-02       1.738145333508e-01      -6.923602307878e+02      -6.843725076811e+02       1.769492863804e-01       1.930546767820e-01      -2.138085327685e+02       3.537324288654e-01       3.537324288654e-01 
       1.017630466225e-02       1.731379043762e-01      -7.075494962213e+02      -6.993972214744e+02       1.762612646009e-01       1.924011920531e-01      -2.185053286286e+02       3.524506086915e-01       3.524506086915e-01 
       1.030446088749e-02       1.724650673574e-01      -7.228466446264e+02      -7.145291522685e+02       1.755770679011e-01       1.917555139424e-01      -2.232356079095e+02       3.511723668222e-01       3.511723668222e-01 
       1.043266097370e-02       1.717959185095e-01      -7.382499415351e+02      -7.297667214997e+02       1.748965934588e-01       1.910985839429e-01      -2.279988836097e+02       3.498978332889e-01       3.498978332889e-01 
       1.056090412063e-02       1.711306683155e-01      -7.537576563767e+02      -7.451082389309e+02       1.742200525843e-01       1.904411539365e-01      -2.327946189545e+02       3.486270467378e-01       3.486270467378e-01 
       1.068918958422e-02       1.704684795328e-01      -7.693676581404e+02      -7.605514821910e+02       1.735466050475e-01       1.897705161759e-01      -2.376221336137e+02       3.473598210753e-01       3.473598210753e-01 
       1.081751667389e-02       1.698107002728e-01      -7.850781938555e+02      -7.760946164697e+02       1.728776014891e-01       1.891028549681e-01      -2.424808478599e+02       3.460961300741e-01       3.460961300741e-01 
       1.094588474994e-02       1.691558399011e-01      -8.008876252719e+02      -7.917363746454e+02       1.722115498805e-01       1.884537037845e-01      -2.473703376918e+02       3.448361539900e-01       3.448361539900e-01 
       1.107429322119e-02       1.685038119703e-01      -8.167940629434e+02      -8.074749794254e+02       1.715483636030e-01       1.878083492964e-01      -2.522900532187e+02       3.435798817242e-01       3.435798817242e-01 
       1.120274154275e-02       1.678551529557e-01      -8.327959243256e+02      -8.233085523772e+02       1.708885799234e-01       1.871658974524e-01      -2.572394231823e+02       3.423272666350e-01       3.423272666350e-01 
       1.133122921394e-02       1.672093283592e-01      -8.488911001610e+02      -8.392353153571e+02       1.702316631733e-01       1.865010684717e-01      -2.622178941242e+02       3.410782871529e-01       3.410782871529e-01 
       1.145975577640e-02       1.665671501568e-01      -8.650778596602e+02      -8.552532832471e+02       1.695784261421e-01       1.858293659595e-01      -2.672248482097e+02       3.398328347330e-01       3.398328347330e-01 
       1.158832081229e-02       1.659277994871e-01      -8.813547542128e+02      -8.713612775593e+02       1.689280496797e-01       1.851850400056e-01      -2.722598810966e+02       3.385910676306e-01       3.385910676306e-01 
       1.171692394261e-02       1.652922069195e-01      -8.977195683215e+02      -8.875566583082e+02       1.682814637237e-01       1.845392552928e-01      -2.773222093151e+02       3.373526611510e-01       3.373526611510e-01 
       1.184556482572e-02       1.646582523639e-01      -9.141711356933e+02      -9.038391735394e+02       1.676365477936e-01       1.839095810648e-01      -2.824116980185e+02       3.361180897358e-01       3.361180897358e-01 
       1.197424315583e-02       1.640273146160e-01      -9.307073501579e+02      -9.202062717361e+02       1.669946813089e-01       1.832405705939e-01      -2.875276106549e+02       3.348870770441e-01       3.348870770441e-01 
       1.210295866171e-02       1.634000776396e-01      -9.473264768274e+02      -9.366557673363e+02       1.663565479891e-01       1.825837229214e-01      -2.926692515608e+02       3.336594176057e-01       3.336594176057e-01 
       1.223171110544e-02       1.627751427660e-01      -9.640271022270e+02      -9.531869698600e+02       1.657207489013e-01       1.819265015419e-01      -2.978363789950e+02       3.324354187548e-01       3.324354187548e-01 
       1.236050028124e-02       1.621527052104e-01      -9.808074689067e+02      -9.697980860591e+02       1.650874789993e-01       1.812984311300e-01      -3.030284148010e+02       3.312149906191e-01       3.312149906191e-01 
