# Matter power spectrum P(k) at redshift z=0
# for k=1.48588e-07 to 36.0195 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.670737627633e-02       1.607948027378e+04 
       3.687747029586e-02       1.600751446590e+04 
       3.704866102009e-02       1.593550882875e+04 
       3.722098431856e-02       1.586365224301e+04 
       3.739447760491e-02       1.579175683127e+04 
       3.756917992399e-02       1.571997574081e+04 
       3.774513204519e-02       1.564823761019e+04 
       3.792237656249e-02       1.557651558611e+04 
       3.810095800180e-02       1.550490076321e+04 
       3.828092293626e-02       1.543329756639e+04 
       3.846232011021e-02       1.536173201988e+04 
       3.864520057258e-02       1.529019976604e+04 
       3.882961782066e-02       1.521876301816e+04 
       3.901562795506e-02       1.514736586082e+04 
       3.920328984712e-02       1.507596347591e+04 
       3.939266531979e-02       1.500464974886e+04 
       3.958381934344e-02       1.493333919235e+04 
       3.977682024797e-02       1.486202713537e+04 
       3.997173995290e-02       1.479082080879e+04 
       4.016865421740e-02       1.471952987866e+04 
       4.036764291207e-02       1.464831950733e+04 
       4.056879031512e-02       1.457713024193e+04 
       4.077218543523e-02       1.450590903664e+04 
       4.097792236430e-02       1.443466275660e+04 
       4.118610066322e-02       1.436346221962e+04 
       4.139682578454e-02       1.429222382431e+04 
       4.161020953620e-02       1.422090953351e+04 
       4.182637059119e-02       1.414964639300e+04 
       4.204543504866e-02       1.407831379249e+04 
       4.226753705272e-02       1.400689997994e+04 
       4.249281947603e-02       1.393546978078e+04 
       4.272143467661e-02       1.386396057637e+04 
       4.295354533697e-02       1.379235130625e+04 
       4.318932539681e-02       1.372073133430e+04 
       4.342896109149e-02       1.364893312739e+04 
       4.367265211106e-02       1.357705532134e+04 
       4.392061289659e-02       1.350503791056e+04 
       4.417307409343e-02       1.343284169164e+04 
       4.443028418450e-02       1.336051487796e+04 
       4.469251133027e-02       1.328801406577e+04 
       4.496004544722e-02       1.321530466678e+04 
       4.523320056197e-02       1.314237616852e+04 
       4.551231748508e-02       1.306922638647e+04 
       4.579776685704e-02       1.299580511063e+04 
       4.608995262869e-02       1.292202697688e+04 
       4.638931605072e-02       1.284808321475e+04 
       4.669634026190e-02       1.277370692527e+04 
       4.701155558404e-02       1.269894670809e+04 
       4.733554565438e-02       1.262375134247e+04 
       4.766895455449e-02       1.254815660094e+04 
       4.801249512951e-02       1.247202255447e+04 
       4.836695873583e-02       1.239536820622e+04 
       4.873322670993e-02       1.231809317438e+04 
       4.911228392071e-02       1.224012978515e+04 
       4.950523485518e-02       1.216153548055e+04 
       4.991332279863e-02       1.208207456137e+04 
       5.033795281197e-02       1.200173620205e+04 
       5.078071938885e-02       1.192041956505e+04 
       5.124343990559e-02       1.183801374438e+04 
       5.172819526879e-02       1.175438428495e+04 
       5.223737953680e-02       1.166936926218e+04 
       5.277376075656e-02       1.158279747195e+04 
       5.334055583301e-02       1.149450385061e+04 
       5.394152293925e-02       1.140415010419e+04 
       5.458107576241e-02       1.131142072023e+04 
       5.526442468460e-02       1.121604594746e+04 
       5.599775061605e-02       1.111747486831e+04 
       5.678841716980e-02       1.101500608666e+04 
       5.764522523569e-02       1.090800111424e+04 
       5.857870888210e-02       1.079539265100e+04 
       5.960145934209e-02       1.067568704902e+04 
       6.072843844090e-02       1.054721411846e+04 
       6.197719460748e-02       1.040748109304e+04 
       6.336781212560e-02       1.025335506992e+04 
       6.492230383164e-02       1.008046821599e+04 
       6.666303224616e-02       9.883505244946e+03 
       6.860974071605e-02       9.656098606408e+03 
       7.077515554936e-02       9.391639928341e+03 
       7.316012320251e-02       9.084762721351e+03 
       7.575053287514e-02       8.733559589321e+03 
       7.851845916814e-02       8.341678831969e+03 
       8.142782485766e-02       7.918961538405e+03 
       8.444184318207e-02       7.480367585361e+03 
       8.752871081762e-02       7.043199145031e+03 
       9.066400615372e-02       6.624268374586e+03 
       9.383046784245e-02       6.237541092447e+03 
       9.701655803029e-02       5.892827406855e+03 
       1.002148401022e-01       5.595343560158e+03 
       1.034206303553e-01       5.345934447510e+03 
       1.066310211162e-01       5.141750276817e+03 
       1.098442231899e-01       4.977051112386e+03 
       1.130591414971e-01       4.844061824917e+03 
       1.162751078991e-01       4.733890933715e+03 
       1.194917154530e-01       4.637354710282e+03 
       1.227087164965e-01       4.545726408911e+03 
       1.259259603147e-01       4.451568799357e+03 
       1.291433551382e-01       4.349286973356e+03 
       1.323608450190e-01       4.235539872193e+03 
       1.355783957758e-01       4.109365492899e+03 
       1.387959864568e-01       3.971976780420e+03 
       1.420136041555e-01       3.826361550255e+03 
       1.452312408626e-01       3.676665005317e+03 
       1.484488915551e-01       3.527539865979e+03 
       1.485884101040e-01       3.521159744547e+03 
       1.516665530346e-01       3.383531152381e+03 
       1.548842232216e-01       3.248599379165e+03 
       1.581019007267e-01       3.125728388279e+03 
       1.613195845885e-01       3.016772156773e+03 
       1.645372741145e-01       2.922401215487e+03 
       1.677549687834e-01       2.842173184593e+03 
       1.709726681851e-01       2.774708148653e+03 
       1.741903719836e-01       2.717892599459e+03 
       1.774080798944e-01       2.669155555576e+03 
       1.806257916693e-01       2.625703345836e+03 
       1.838435070877e-01       2.584959918339e+03 
       1.870612259501e-01       2.544706407926e+03 
       1.902789480745e-01       2.502467922465e+03 
       1.934966732933e-01       2.456779288733e+03 
       1.967144014510e-01       2.406886065319e+03 
       1.999321324035e-01       2.352801930371e+03 
       2.031498660160e-01       2.295201183888e+03 
       2.063676021626e-01       2.235279835483e+03 
       2.095853407254e-01       2.174489222280e+03 
       2.128030815939e-01       2.114340060389e+03 
       2.160208246641e-01       2.056225248764e+03 
       2.192385698383e-01       2.001258032651e+03 
       2.224563170246e-01       1.950252626583e+03 
       2.256740661361e-01       1.903721832963e+03 
       2.288918170912e-01       1.861867189125e+03 
