# Matter power spectrum P(k) at redshift z=0
# for k=1.48588e-07 to 11.3904 h/Mpc,
# number of wavenumbers equal to 581
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.522646715523e-02       2.189315270912e+04 
       2.536201742813e-02       2.183033090512e+04 
       2.549771947389e-02       2.176719863677e+04 
       2.563357660402e-02       2.170357544762e+04 
       2.576959221239e-02       2.163958938071e+04 
       2.590576977752e-02       2.157512234774e+04 
       2.604211286494e-02       2.151029925322e+04 
       2.617862512961e-02       2.144517495857e+04 
       2.631531031849e-02       2.137957794796e+04 
       2.645217227310e-02       2.131361636937e+04 
       2.658921493227e-02       2.124734360276e+04 
       2.672644233492e-02       2.118074672185e+04 
       2.686385862295e-02       2.111376737810e+04 
       2.700146804427e-02       2.104644998429e+04 
       2.713927495589e-02       2.097880672813e+04 
       2.727728382713e-02       2.091095731172e+04 
       2.741549924302e-02       2.084279243478e+04 
       2.755392590767e-02       2.077433367119e+04 
       2.769256864796e-02       2.070557349772e+04 
       2.783143241720e-02       2.063660256625e+04 
       2.797052229901e-02       2.056735478372e+04 
       2.810984351135e-02       2.049789527539e+04 
       2.824940141065e-02       2.042810005235e+04 
       2.838920149616e-02       2.035818535021e+04 
       2.852924941443e-02       2.028802751573e+04 
       2.866955096396e-02       2.021767296444e+04 
       2.881011210009e-02       2.014705639418e+04 
       2.895093893998e-02       2.007633476684e+04 
       2.909203776787e-02       2.000533908232e+04 
       2.923341504057e-02       1.993421077130e+04 
       2.937507739306e-02       1.986292547138e+04 
       2.951703164444e-02       1.979154118605e+04 
       2.965928480405e-02       1.971991596886e+04 
       2.980184407788e-02       1.964819199061e+04 
       2.994471687524e-02       1.957626510835e+04 
       3.008791081566e-02       1.950430635951e+04 
       3.023143373620e-02       1.943216874334e+04 
       3.037529369895e-02       1.935991819182e+04 
       3.051949899891e-02       1.928758049727e+04 
       3.066405817224e-02       1.921513692268e+04 
       3.080898000482e-02       1.914258830391e+04 
       3.095427354121e-02       1.906994149708e+04 
       3.109994809404e-02       1.899725972832e+04 
       3.124601325376e-02       1.892442272113e+04 
       3.139247889891e-02       1.885162626547e+04 
       3.153935520678e-02       1.877873003673e+04 
       3.168665266466e-02       1.870562126663e+04 
       3.183438208154e-02       1.863265835920e+04 
       3.198255460039e-02       1.855958155823e+04 
       3.213118171104e-02       1.848646734085e+04 
       3.228027526365e-02       1.841327396565e+04 
       3.242984748286e-02       1.834009672905e+04 
       3.257991098265e-02       1.826686610667e+04 
       3.273047878189e-02       1.819356314724e+04 
       3.288156432070e-02       1.812028435102e+04 
       3.303318147766e-02       1.804709314672e+04 
       3.318534458785e-02       1.797381784731e+04 
       3.333806846184e-02       1.790050848890e+04 
       3.349136840573e-02       1.782717649767e+04 
       3.364526024212e-02       1.775388362915e+04 
       3.379976033236e-02       1.768049633944e+04 
       3.395488559984e-02       1.760728892066e+04 
       3.411065355467e-02       1.753400477972e+04 
       3.426708231965e-02       1.746064808972e+04 
       3.442419065770e-02       1.738747488267e+04 
       3.458199800085e-02       1.731423228124e+04 
       3.474052448089e-02       1.724094626363e+04 
       3.489979096171e-02       1.716779890952e+04 
       3.505981907362e-02       1.709463675955e+04 
       3.522063124963e-02       1.702157424119e+04 
       3.538225076389e-02       1.694835965988e+04 
       3.554470177248e-02       1.687528523867e+04 
       3.570800935669e-02       1.680224868671e+04 
       3.587219956887e-02       1.672921440026e+04 
       3.603729948132e-02       1.665627452372e+04 
       3.620333723810e-02       1.658331754376e+04 
       3.637034211025e-02       1.651043740537e+04 
       3.653834455459e-02       1.643751398372e+04 
       3.670737627633e-02       1.636466210048e+04 
       3.687747029586e-02       1.629192426459e+04 
       3.704866102009e-02       1.621912543909e+04 
       3.722098431856e-02       1.614645873035e+04 
       3.739447760491e-02       1.607373201177e+04 
       3.756917992399e-02       1.600110186796e+04 
       3.774513204519e-02       1.592849529657e+04 
       3.792237656249e-02       1.585588479288e+04 
       3.810095800180e-02       1.578336349946e+04 
       3.828092293626e-02       1.571083360200e+04 
       3.846232011021e-02       1.563832166520e+04 
       3.864520057258e-02       1.556582316646e+04 
       3.882961782066e-02       1.549340170066e+04 
       3.901562795506e-02       1.542099997636e+04 
       3.920328984712e-02       1.534857203200e+04 
       3.939266531979e-02       1.527621386265e+04 
       3.958381934344e-02       1.520383785789e+04 
       3.977682024797e-02       1.513143910686e+04 
       3.997173995290e-02       1.505912726174e+04 
       4.016865421740e-02       1.498670729632e+04 
       4.036764291207e-02       1.491434815962e+04 
       4.056879031512e-02       1.484198880064e+04 
       4.077218543523e-02       1.476957469385e+04 
       4.097792236430e-02       1.469711264709e+04 
       4.118610066322e-02       1.462467496729e+04 
       4.139682578454e-02       1.455217576027e+04 
       4.161020953620e-02       1.447957576586e+04 
       4.182637059119e-02       1.440700484727e+04 
       4.204543504866e-02       1.433433909150e+04 
       4.226753705272e-02       1.426156608091e+04 
       4.249281947603e-02       1.418875185261e+04 
       4.272143467661e-02       1.411583179550e+04 
       4.295354533697e-02       1.404278384266e+04 
       4.318932539681e-02       1.396969909085e+04 
       4.342896109149e-02       1.389640522028e+04 
       4.367265211106e-02       1.382300273748e+04 
       4.392061289659e-02       1.374942944219e+04 
       4.417307409343e-02       1.367564438777e+04 
       4.443028418450e-02       1.360169621089e+04 
       4.469251133027e-02       1.352753951310e+04 
       4.496004544722e-02       1.345313784259e+04 
       4.523320056197e-02       1.337847934560e+04 
       4.551231748508e-02       1.330356060862e+04 
