# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  137       5.216105701582e-10       1.470945268251e-13      -5.768787271668e-12       0.000000000000e+00 
  138       5.261391705243e-10       1.472002495384e-13      -5.808615541001e-12       0.000000000000e+00 
  139       5.306587962068e-10       1.472402890544e-13      -5.845854065668e-12       0.000000000000e+00 
  140       5.351680356082e-10       1.472147579355e-13      -5.880444548736e-12       0.000000000000e+00 
  141       5.396654048269e-10       1.471238524891e-13      -5.912329695107e-12       0.000000000000e+00 
  142       5.441493460985e-10       1.469678544935e-13      -5.941453250197e-12       0.000000000000e+00 
  143       5.486182262373e-10       1.467471329238e-13      -5.967760038618e-12       0.000000000000e+00 
  144       5.530704663486e-10       1.464621547808e-13      -5.991196326299e-12       0.000000000000e+00 
  145       5.575049486694e-10       1.461135151348e-13      -6.011710865405e-12       0.000000000000e+00 
  146       5.619206470607e-10       1.457019133386e-13      -6.029254026441e-12       0.000000000000e+00 
  147       5.663164985409e-10       1.452281459539e-13      -6.043777524261e-12       0.000000000000e+00 
  148       5.706914024819e-10       1.446931085292e-13      -6.055234458603e-12       0.000000000000e+00 
  149       5.750442198045e-10       1.440977973786e-13      -6.063579354635e-12       0.000000000000e+00 
  150       5.793737721745e-10       1.434433113603e-13      -6.068768203493e-12       0.000000000000e+00 
  151       5.836788411984e-10       1.427308536547e-13      -6.070758502829e-12       0.000000000000e+00 
  152       5.879581676196e-10       1.419617335428e-13      -6.069509297348e-12       0.000000000000e+00 
  153       5.922104505135e-10       1.411373681849e-13      -6.064981219351e-12       0.000000000000e+00 
  154       5.964343464841e-10       1.402592843987e-13      -6.057136529279e-12       0.000000000000e+00 
  155       6.006284688594e-10       1.393291204380e-13      -6.045939156252e-12       0.000000000000e+00 
  156       6.047913868873e-10       1.383486277709e-13      -6.031354738616e-12       0.000000000000e+00 
  157       6.089216249314e-10       1.373196728581e-13      -6.013350664479e-12       0.000000000000e+00 
  158       6.130176616669e-10       1.362442389317e-13      -5.991896112257e-12       0.000000000000e+00 
