# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:phi_scf               18:phi'_scf              19:V_scf                 20:V'_scf                21:V''_scf            
       1.277338981346e+08       4.632545967376e-14       3.628531807408e-03       3.520286715794e+10       1.434210262790e+04       1.122810994189e-04       1.831972690451e+12       2.094931345511e-03       7.324934567504e+20       4.683562960392e+15       2.782648487565e+16       1.685502093359e+20       3.381656800052e+20       1.239241856139e+21       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.427180988669e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.268459762531e+08       4.697628321709e-14       3.653931365989e-03       3.471515712528e+10       1.434210260250e+04       1.130670669507e-04       1.819238020479e+12       2.109595752330e-03       7.123375968136e+20       4.586569203762e+15       2.725021520132e+16       1.639122506205e+20       3.288604500146e+20       1.205142134233e+21       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.478512119239e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.259642266190e+08       4.763625012021e-14       3.679508719870e-03       3.423420398104e+10       1.434210257693e+04       1.138585362529e-04       1.806591873535e+12       2.124362808398e-03       6.927363611966e+20       4.491584129148e+15       2.668587972328e+16       1.594019135847e+20       3.198112699704e+20       1.171980722216e+21       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.530928721509e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.250886063269e+08       4.830548883690e-14       3.705265113240e-03       3.375991411300e+10       1.434210255117e+04       1.146555458379e-04       1.794033634266e+12       2.139233232236e-03       6.736744884255e+20       4.398566137960e+15       2.613323129156e+16       1.550156864911e+20       3.110110942031e+20       1.139731800917e+21       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.584453750728e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.242190727698e+08       4.898412962557e-14       3.731201797564e-03       3.329219520588e+10       1.434210252523e+04       1.154581344876e-04       1.781562691596e+12       2.154207747396e-03       6.551371369727e+20       4.307474493091e+15       2.559202787448e+16       1.507501542340e+20       3.024530709174e+20       1.108370261626e+21       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.639110647572e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.233555836366e+08       4.967230457461e-14       3.757320037039e-03       3.283095622337e+10       1.434210249912e+04       1.162663412554e-04       1.769178438696e+12       2.169287082493e-03       6.371098737018e+20       4.218269301074e+15       2.506203245273e+16       1.466019956804e+20       2.941305368572e+20       1.077871686541e+21       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.694923348415e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.224980969104e+08       5.037014762808e-14       3.783621101320e-03       3.237610739042e+10       1.434210247281e+04       1.170802054682e-04       1.756880272956e+12       2.184471971244e-03       6.195786626297e+20       4.130911494613e+15       2.454301291551e+16       1.425679810842e+20       2.860370121180e+20       1.048212329756e+21       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.751916295810e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.216465708666e+08       5.107779461179e-14       3.810106270976e-03       3.192756017575e+10       1.434210244633e+04       1.178997667280e-04       1.744667595956e+12       2.199763152501e-03       6.025298539983e+20       4.045362815471e+15       2.403474195888e+16       1.386449695716e+20       2.781661951012e+20       1.019369098776e+21       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.810114449191e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.208009640703e+08       5.179538325975e-14       3.836776833850e-03       3.148522727460e+10       1.434210241966e+04       1.187250649141e-04       1.732539813433e+12       2.215161370288e-03       5.859501736470e+20       3.961585797716e+15       2.353699698626e+16       1.348299066954e+20       2.705119576078e+20       9.913195365330e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.869543295809e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.199612353750e+08       5.252305324096e-14       3.863634086883e-03       3.104902259179e+10       1.434210239280e+04       1.195561401849e-04       1.720496335257e+12       2.230667373835e-03       5.698267126772e+20       3.879543751313e+15       2.304956001089e+16       1.311198220569e+20       2.630683400675e+20       9.640418039053e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.930228861888e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.191273439198e+08       5.326094618660e-14       3.890679339747e-03       3.061886122492e+10       1.434210236576e+04       1.203930329801e-04       1.708536575400e+12       2.246281917618e-03       5.541469174016e+20       3.799200746055e+15       2.257221756037e+16       1.275118269933e+20       2.558295468976e+20       9.375146627109e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       2.992197724025e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.182992491281e+08       5.400920571758e-14       3.917913905752e-03       3.019465944786e+10       1.434210233852e+04       1.212357840222e-04       1.696659951908e+12       2.262005761393e-03       5.388985795701e+20       3.720521595829e+15       2.210476058321e+16       1.240031123286e+20       2.487899419916e+20       9.117174591724e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.055477020832e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.174769107054e+08       5.476797747252e-14       3.945339112761e-03       2.977633469446e+10       1.434210231110e+04       1.220844343190e-04       1.684865886870e+12       2.277839670235e-03       5.240698268639e+20       3.643471843204e+15       2.164698435724e+16       1.205909461860e+20       2.419440443302e+20       8.866301078363e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.120094464816e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.166602886372e+08       5.553740913611e-14       3.972956292273e-03       2.936380554244e+10       1.434210228348e+04       1.229390251652e-04       1.673153806397e+12       2.293784414574e-03       5.096491136526e+20       3.568017744341e+15       2.119868839996e+16       1.172726718613e+20       2.352865237144e+20       8.622330759344e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.186078354518e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.158493431871e+08       5.631765046778e-14       4.000766788522e-03       2.895699169761e+10       1.434210225567e+04       1.237995981445e-04       1.661523140584e+12       2.309840770232e-03       4.956252120040e+20       3.494126254218e+15       2.075967638075e+16       1.140457057542e+20       2.288121966148e+20       8.385073681757e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.253457586908e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.150440348951e+08       5.710885333093e-14       4.028771956655e-03       2.855581397819e+10       1.434210222766e+04       1.246661951320e-04       1.649973323490e+12       2.326009518462e-03       4.819872029427e+20       3.421765012152e+15       2.032975603486e+16       1.109075353569e+20       2.225160221362e+20       8.154345119568e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.322261670033e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
