#scalar perturbations for mode k = 1.000000000000e-07 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf          
       2.465762943830e+02       7.710284156807e-04      -1.562383603812e-10      -2.265589513905e-23       5.101862326539e-13       1.275465581635e-12       7.202209628831e-20       2.550931163270e-13      -1.171787702859e-10      -2.216865058455e-23       6.005788113776e-01       6.460512619375e-01      -1.562383603789e-10      -5.281133936850e-23       2.270318955534e-11      -1.171787702875e-10      -5.100642378537e-43      -3.571212150475e-23      -9.122274259890e-24 
       2.466066994982e+02       7.711529686115e-04      -1.562733115430e-10      -2.266268632997e-23       5.114618100640e-13       1.275477117177e-12       7.202293237863e-20       2.550954234355e-13      -1.172049836573e-10      -2.217532124038e-23       6.010165153312e-01       6.460478763532e-01      -1.562733115407e-10      -5.283012204092e-23       2.270859178235e-11      -1.172049836588e-10      -5.107459436842e-43      -3.566592330863e-23      -9.125270848477e-24 
       2.466371046134e+02       7.712775288113e-04      -1.563082659214e-10      -2.266948559062e-23       5.127311691931e-13       1.275501855124e-12       7.202473241818e-20       2.551003710248e-13      -1.172311994411e-10      -2.218197961874e-23       6.010137783427e-01       6.460444910579e-01      -1.563082659191e-10      -5.284890890820e-23       2.271399460350e-11      -1.172311994426e-10      -5.114284720605e-43      -3.561967250802e-23      -9.128285010224e-24 
       2.466675097287e+02       7.714020962799e-04      -1.563432235840e-10      -2.267629288064e-23       5.139942707695e-13       1.275539921679e-12       7.202751367288e-20       2.551079843358e-13      -1.172574176880e-10      -2.218862587475e-23       6.010110609952e-01       6.460411064261e-01      -1.563432235817e-10      -5.286770005919e-23       2.271939803129e-11      -1.172574176896e-10      -5.121118412273e-43      -3.557335480725e-23      -9.131286758587e-24 
       2.468513358154e+02       7.721553727451e-04      -1.565546403559e-10      -2.271759648742e-23       5.215113648266e-13       1.276028004749e-12       7.206393080416e-20       2.552056009498e-13      -1.174159802670e-10      -2.222859268418e-23       6.009949930367e-01       6.460206379556e-01      -1.565546403536e-10      -5.298139609344e-23       2.275207885882e-11      -1.174159802685e-10      -5.162605124688e-43      -3.529261955552e-23      -9.149448210148e-24 
       2.470351619021e+02       7.729089149103e-04      -1.567661756893e-10      -2.275914460969e-23       5.288247510902e-13       1.276960601278e-12       7.213495467800e-20       2.553921202555e-13      -1.175746317670e-10      -2.226821097131e-23       6.009795615782e-01       6.460001855190e-01      -1.567661756870e-10      -5.309524690739e-23       2.278478158939e-11      -1.175746317685e-10      -5.204397822197e-43      -3.500974436614e-23      -9.167628685703e-24 
       2.472189879888e+02       7.736627227757e-04      -1.569778309145e-10      -2.280090790511e-23       5.359493622042e-13       1.278314243573e-12       7.224028980230e-20       2.556628487147e-13      -1.177333731859e-10      -2.230753975647e-23       6.009647287485e-01       6.459797565213e-01      -1.569778309122e-10      -5.320925435901e-23       2.281750647081e-11      -1.177333731874e-10      -5.246501984961e-43      -3.472443972841e-23      -9.185830123865e-24 
       2.474028140755e+02       7.744167963412e-04      -1.571896064806e-10      -2.284285881141e-23       5.429014263896e-13       1.280062533155e-12       7.237933474123e-20       2.560125066309e-13      -1.178922048605e-10      -2.234663350229e-23       6.009504486777e-01       6.459593532593e-01      -1.571896064782e-10      -5.332341916495e-23       2.285025358803e-11      -1.178922048620e-10      -5.288920950882e-43      -3.443659370188e-23      -9.204038349276e-24 
       2.477376280860e+02       7.757909206211e-04      -1.575756358658e-10      -2.291968068082e-23       5.551682720197e-13       1.284181720946e-12       7.271689382774e-20       2.568363441893e-13      -1.181817268994e-10      -2.241736633112e-23       6.009257169616e-01       6.459222563167e-01      -1.575756358635e-10      -5.353175945935e-23       2.290995511554e-11      -1.181817269009e-10      -5.366997128748e-43      -3.390574032270e-23      -9.237280292070e-24 
       2.480724420964e+02       7.771659263246e-04      -1.579620646736e-10      -2.299694362479e-23       5.669982546859e-13       1.289386837170e-12       7.315953289036e-20       2.578773674340e-13      -1.184715485052e-10      -2.248767349040e-23       6.009024171540e-01       6.458852406065e-01      -1.579620646712e-10      -5.374062324879e-23       2.296973046425e-11      -1.184715485068e-10      -5.446138687564e-43      -3.336624673241e-23      -9.270590196700e-24 
