# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   59       2.140865991970e-10       2.649101007447e-14      -2.109118436226e-13       1.479072474492e-16       3.912998973005e-11       4.590797274078e-12      -5.832312055315e-15 
   60       2.169508643851e-10       2.786265145910e-14      -2.513109083739e-13       1.529855502356e-16       3.766834397521e-11       4.438915209416e-12      -6.459869745616e-15 
   61       2.198371318133e-10       2.927198904234e-14      -2.934434335432e-13       1.581475390340e-16       3.627182450585e-11       4.293534852046e-12      -7.029649585151e-15 
   62       2.227469314828e-10       3.071847704556e-14      -3.373170453182e-13       1.633932034834e-16       3.493905169256e-11       4.154479005084e-12      -7.516131229659e-15 
   63       2.256827630553e-10       3.220142386654e-14      -3.829264322663e-13       1.687226420048e-16       3.367009727109e-11       4.021724417347e-12      -7.923060987496e-15 
   64       2.286465685504e-10       3.372004163949e-14      -4.302644277669e-13       1.741359899772e-16       3.246357569930e-11       3.895090759186e-12      -8.255603960582e-15 
   65       2.316396877707e-10       3.527344362549e-14      -4.793220107135e-13       1.796334216643e-16       3.131656118177e-11       3.774231710289e-12      -8.520412675371e-15 
   66       2.346628137259e-10       3.686064160290e-14      -5.300883062162e-13       1.852151521401e-16       3.022450469449e-11       3.658626047471e-12      -8.725695713824e-15 
   67       2.377159480574e-10       3.848054325776e-14      -5.825505863039e-13       1.908814392149e-16       2.918115100946e-11       3.547568732479e-12      -8.881286344380e-15 
   68       2.407988677476e-10       4.013207031603e-14      -6.366942154315e-13       1.966325735217e-16       2.818020950599e-11       3.440368785628e-12      -8.997620559989e-15 
   69       2.439127346995e-10       4.181454656914e-14      -6.925024726083e-13       2.024688421362e-16       2.722094521085e-11       3.337009386621e-12      -9.082277320174e-15 
   70       2.470587337216e-10       4.352738414591e-14      -7.499566943239e-13       2.083905610111e-16       2.630357679475e-11       3.237606131820e-12      -9.142857341550e-15 
   71       2.502375591658e-10       4.526997019725e-14      -8.090363258590e-13       2.143980877580e-16       2.542758558545e-11       3.142208524278e-12      -9.188051671424e-15 
   72       2.534493834284e-10       4.704166737465e-14      -8.697189205755e-13       2.204918232713e-16       2.459167744629e-11       3.050796350182e-12      -9.227682426366e-15 
   73       2.566938254509e-10       4.884181430857e-14      -9.319801392079e-13       2.266722133504e-16       2.379374465475e-11       2.963276055290e-12      -9.272743530778e-15 
   74       2.599699192209e-10       5.066972608691e-14      -9.957937491533e-13       2.329397503237e-16       2.303082778089e-11       2.879477121368e-12      -9.335441455464e-15 
   75       2.632760822728e-10       5.252469473345e-14      -1.061131623763e-12       2.392949746718e-16       2.229907756595e-11       2.799148442627e-12      -9.429235956197e-15 
   76       2.666107597470e-10       5.440582990048e-14      -1.127960841511e-12       2.457383777575e-16       2.159471052050e-11       2.722024882710e-12      -9.564941366268e-15 
   77       2.699745617872e-10       5.631154635053e-14      -1.196234374369e-12       2.522700859518e-16       2.091716116607e-11       2.648048967622e-12      -9.738119639921e-15 
   78       2.733684604910e-10       5.823998344944e-14      -1.265898692234e-12       2.588901215885e-16       2.026643803161e-11       2.577183224113e-12      -9.939451702460e-15 
