#scalar perturbations for mode k = 1.105063066833e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:delta_scf             22:theta_scf          
       6.466818578875e+00       1.411554453847e-05      -1.686363997308e-03      -1.102830900206e-07       4.096921197289e-08       1.024230299322e-07       1.104628725993e-13       2.048460598645e-08      -1.264772997981e-03      -1.102830820843e-07       6.012221795371e-01       6.971026277242e-01      -1.686359692573e-03      -1.650123143810e-07       2.041425532840e-04      -1.264779504629e-03      -8.771615919392e-35      -1.688097418952e-03      -1.651824935544e-07       2.043527275599e-04      -4.834113084650e-23                     -inf 
       6.483166143755e+00       1.415164074527e-05      -1.694857491057e-03      -1.111172461609e-07       4.128264790181e-08       1.032066197545e-07       1.118779717839e-13       2.064132395091e-08      -1.271143118293e-03      -1.111172359784e-07       6.012218298351e-01       6.970954983670e-01      -1.694851988850e-03      -1.662646148043e-07       2.051732903168e-04      -1.271151434613e-03      -1.815374139408e-34      -1.696598455358e-03      -1.664360822150e-07       2.053845235123e-04      -6.147132326630e-23                     -inf 
       6.499513708636e+00       1.418773903646e-05      -1.703372129602e-03      -1.119555738248e-07       4.159768781515e-08       1.039942195379e-07       1.133075955181e-13       2.079884390758e-08      -1.277529097202e-03      -1.119555613624e-07       6.012214766541e-01       6.970883691370e-01      -1.703365420785e-03      -1.675232190583e-07       2.062066165817e-04      -1.277539236865e-03      -3.261467222059e-34      -1.705120658874e-03      -1.676959821361e-07       2.064189125212e-04      -7.456828081023e-23                     -inf 
       6.515861273517e+00       1.422383941204e-05      -1.711907911267e-03      -1.127980831996e-07       4.191433466049e-08       1.047858366512e-07       1.147518528253e-13       2.095716733025e-08      -1.283930933451e-03      -1.127980684232e-07       6.012211275264e-01       6.970812483936e-01      -1.711899986657e-03      -1.687881428601e-07       2.072425319853e-04      -1.283942910196e-03      -5.327642256769e-34      -1.713664004489e-03      -1.689622067623e-07       2.074558916738e-04      -8.763267086146e-23                     -inf 
       6.532208838397e+00       1.425994187202e-05      -1.720464834385e-03      -1.136447844711e-07       4.223259379212e-08       1.055814844803e-07       1.162108598701e-13       2.111629689606e-08      -1.290348625790e-03      -1.136447673464e-07       6.012207753059e-01       6.970741281169e-01      -1.720455684750e-03      -1.700594019264e-07       2.082810364355e-04      -1.290362453423e-03      -8.127270314557e-34      -1.722228512599e-03      -1.702347740020e-07       2.084954635550e-04      -1.006651582398e-22                     -inf 
       6.548556403278e+00       1.429604641640e-05      -1.729042897294e-03      -1.144956878229e-07       4.255246905006e-08       1.063811726251e-07       1.176847292838e-13       2.127623452503e-08      -1.296782172972e-03      -1.144956683154e-07       6.012204220846e-01       6.970670105974e-01      -1.729032513357e-03      -1.713370119719e-07       2.093221298420e-04      -1.296797865370e-03      -1.177489876203e-33      -1.730814175062e-03      -1.715136989550e-07       2.095376272955e-04      -1.136664052506e-22                     -inf 
       6.616763313960e+00       1.444670782220e-05      -1.765061195987e-03      -1.180914773236e-07       4.390461251626e-08       1.097615312906e-07       1.239970567183e-13       2.195230625813e-08      -1.323795896993e-03      -1.180914474942e-07       6.012189526871e-01       6.970373598282e-01      -1.765045561025e-03      -1.767364587520e-07       2.136938148259e-04      -1.323819520996e-03      -3.873550593496e-33      -1.766864289023e-03      -1.769187001297e-07       2.139138034953e-04      -1.675889998426e-22                     -inf 
       6.684970224642e+00       1.459740551330e-05      -1.801447347053e-03      -1.217613333228e-07       4.528526519124e-08       1.132131629781e-07       1.305785103867e-13       2.264263259562e-08      -1.351085510295e-03      -1.217612925426e-07       6.012174725595e-01       6.970077606282e-01      -1.801426295319e-03      -1.822478784421e-07       2.181105600353e-04      -1.351117313683e-03      -9.114114133111e-33      -1.803282481972e-03      -1.824357906549e-07       2.183350877206e-04      -2.210266847556e-22                     -inf 
       6.753177135325e+00       1.474813948968e-05      -1.838201229427e-03      -1.255059944731e-07       4.669472947806e-08       1.167368236951e-07       1.374376706122e-13       2.334736473903e-08      -1.378650922079e-03      -1.255059420916e-07       6.012159911570e-01       6.969782206059e-01      -1.838174591703e-03      -1.878724118178e-07       2.225723586181e-04      -1.378691157706e-03      -1.780146463421e-32      -1.840068597497e-03      -1.880661092720e-07       2.228014692627e-04      -2.740262960741e-22                     -inf 
       6.821384046007e+00       1.489890975136e-05      -1.875322722311e-03      -1.293261989112e-07       4.813331156504e-08       1.203332789126e-07       1.445833123476e-13       2.406665578252e-08      -1.406492041746e-03      -1.293261342554e-07       6.012144978802e-01       6.969487251563e-01      -1.875290325881e-03      -1.936111993553e-07       2.270792037078e-04      -1.406540967596e-03      -3.087832908895e-32      -1.877222545221e-03      -1.938108010838e-07       2.273129453647e-04      -3.266340882340e-22                     -inf 
