# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)rho_scf            15:(.)p_scf              16:(.)p_prime_scf        17:phi_scf               18:phi'_scf              19:V_scf                 20:V'_scf                21:V''_scf               22:(.)rho_tot            23:(.)p_tot              24:(.)p_tot_prime        25:gr.fac. D             26:gr.fac. f          
       1.888530916346e+02       6.222994369149e-03       9.151718894614e+02       3.371345293850e-01       1.323800129930e+04       6.972760456690e+01       2.513275473735e+06       3.681485217583e+02       3.574783682333e-03       1.664822024489e-02       9.096372336053e-02       2.472924138463e-03       1.136596909036e-01       3.947739712047e-08      -3.947739596584e-08       1.243921924963e-17       1.000351027725e-04       1.922548870609e-10       1.184321896295e-07      -1.450439026392e-07       1.776352675622e-07       1.136596909036e-01       2.015863129536e-03      -1.431907946975e-05       7.036235277269e-03       9.639140742516e-01 
       1.875311867045e+02       6.290952234647e-03       9.191138518699e+02       3.335577718414e-01       1.323405933689e+04       7.019559770571e+01       2.495032911702e+06       3.692207835559e+02       3.476257002244e-03       1.630288237108e-02       8.907684185871e-02       2.404766446382e-03       1.112607871558e-01       3.947739709600e-08      -3.947739591637e-08       1.266106446395e-17       1.000358673854e-04       1.956882336697e-10       1.184321895186e-07      -1.450439025034e-07       1.776352673959e-07       1.112607871558e-01       1.960301672146e-03      -1.387329146587e-05       7.083790216514e-03       9.641560426452e-01 
       1.862184851058e+02       6.359638816012e-03       9.230703428239e+02       3.300193623331e-01       1.323010284594e+04       7.066664831978e+01       2.476919812611e+06       3.702940737602e+02       3.380445815232e-03       1.596470771603e-02       8.722909925814e-02       2.338487247933e-03       1.089127795147e-01       3.947739707101e-08      -3.947739586583e-08       1.288684867267e-17       1.000366485208e-04       1.991825966363e-10       1.184321894053e-07      -1.450439023646e-07       1.776352672259e-07       1.089127795147e-01       1.906271543659e-03      -1.344139810171e-05       7.131678607212e-03       9.643964512933e-01 
       1.849149227738e+02       6.429061842909e-03       9.270414110257e+02       3.265188830315e-01       1.322613177774e+04       7.114077547086e+01       2.458935268054e+06       3.713683875338e+02       3.287275281555e-03       1.563354770114e-02       8.541968374471e-02       2.274034771308e-03       1.066145809761e-01       3.947739704547e-08      -3.947739581420e-08       1.311664161051e-17       1.000374465335e-04       2.027390567938e-10       1.184321892895e-07      -1.450439022229e-07       1.776352670523e-07       1.066145809761e-01       1.853730540225e-03      -1.302296569892e-05       7.179902787747e-03       9.646353093979e-01 
       1.836204360896e+02       6.499229126612e-03       9.310271053517e+02       3.230559207699e-01       1.322214608341e+04       7.161799832924e+01       2.441078375960e+06       3.724437200496e+02       3.196672624008e-03       1.530925682951e-02       8.364780034206e-02       2.211358671502e-03       1.043651279445e-01       3.947739701939e-08      -3.947739576145e-08       1.335051424449e-17       1.000382617861e-04       2.063587140817e-10       1.184321891713e-07      -1.450439020780e-07       1.776352668750e-07       1.043651279445e-01       1.802637621108e-03      -1.261757413734e-05       7.228465112900e-03       9.648726261177e-01 
       1.823349618771e+02       6.570148560863e-03       9.350274748529e+02       3.196300669896e-01       1.321814571391e+04       7.209833617425e+01       2.423348240545e+06       3.735200664903e+02       3.108567071085e-03       1.499169262195e-02       8.191267056238e-02       2.150409990990e-03       1.021633797238e-01       3.947739699273e-08      -3.947739570757e-08       1.358853879568e-17       1.000390946487e-04       2.100426878831e-10       1.184321890505e-07      -1.450439019301e-07       1.776352666938e-07       1.021633797238e-01       1.752952876629e-03      -1.222481643025e-05       7.277367953959e-03       9.651084105691e-01 
       1.810584373997e+02       6.641828122739e-03       9.390425687557e+02       3.162409176869e-01       1.321413062001e+04       7.258180839480e+01       2.405743972274e+06       3.745974220495e+02       3.022889801706e-03       1.468071555444e-02       8.021353206442e-02       2.091141121488e-03       1.000083180194e-01       3.947739696550e-08      -3.947739565253e-08       1.383078876133e-17       1.000399454995e-04       2.137921173682e-10       1.184321889270e-07      -1.450439017790e-07       1.776352665087e-07       1.000083180194e-01       1.704637497002e-03      -1.184429831305e-05       7.326613698843e-03       9.653426718253e-01 
       1.797908003577e+02       6.714275873535e-03       9.430724364627e+02       3.128880733602e-01       1.321010075230e+04       7.306843448984e+01       2.388264687813e+06       3.756757819307e+02       2.939573891465e-03       1.437618899681e-02       7.854963831861e-02       2.033505766775e-03       9.789894645105e-02       3.947739693769e-08      -3.947739559630e-08       1.407733893743e-17       1.000408147247e-04       2.176081618435e-10       1.184321888010e-07      -1.450439016246e-07       1.776352663196e-07       9.789894645105e-02       1.657653742018e-03      -1.147563784480e-05       7.376204752211e-03       9.655754189172e-01 
       1.785319888845e+02       6.787499959648e-03       9.471171275527e+02       3.095711389587e-01       1.320605606121e+04       7.355823406884e+01       2.370909509989e+06       3.767551413484e+02       2.858554260361e-03       1.407797915274e-02       7.692025827916e-02       1.977458906532e-03       9.583429007619e-02       3.947739690927e-08      -3.947739553885e-08       1.432826544161e-17       1.000417027187e-04       2.214920011073e-10       1.184321886722e-07      -1.450439014668e-07       1.776352661264e-07       9.583429007619e-02       1.611964911569e-03      -1.111846502227e-05       7.426143535583e-03       9.658066608326e-01 
       1.772819415444e+02       6.861508613477e-03       9.511766917822e+02       3.062897238310e-01       1.320199649698e+04       7.405122685235e+01       2.353677567743e+06       3.778354955274e+02       2.779767621970e-03       1.378595500098e-02       7.532467606293e-02       1.922956761177e-03       9.381339492445e-02       3.947739688023e-08      -3.947739548017e-08       1.458364573645e-17       1.000426098844e-04       2.254448358116e-10       1.184321885406e-07      -1.450439013057e-07       1.776352659291e-07       9.381339492445e-02       1.567535316987e-03      -1.077242140614e-05       7.476432487459e-03       9.660364065171e-01 
